"Name","Type","Manufacturer","World Drop","Drop Source","Location","Quest / Challenge","Summary","Red Text","Elements","Mayhem Only Level","Not Anointable"
"Clairvoyance","AR","Jakobs ",0,"Kritchy","Cursehaven","Crew Challenge","Crit sticks projectiles which later explode","A broken smile beneath her whispered wings.","O",,
"Mutant","AR","Jakobs ",0,"Fungal Gorger","The Cankerwood","Rare Enemy","Full-Auto laser","Super unnatural.","N",,
"Seeryul Killur","AR","COV",1,"World Drop Only","N/A","N/A","Kill grants increased dmg, fire rate & reduces heat. Stacks 3 times","Look at that unsubtle blood-red coloring...","F",,
"Soulrender","AR","DAHL",0,"Tom & Xam","Heart's Desire","The Call of Gythian","Sends out homing purple ghosts while firing that explode on impact","Picture a soul. Now REND that thing!","Any",,
"Stauros' Burn","AR","COV",0,"Wendigo","The Cankerwood","Horror in the Woods","Chance on break to combust. Combust = guarantees crit hits & +fire dmg","A long sigh was heard...","F",,
"Frozen Devil","Pistol","Maliwan",0,"Kukuwajack","Negul Neshai","Crew Challenge","Continuous laser / Ice Spike","Not sorry, not sorry, not sorry.","O",,
"Hydrafrost","Pistol","COV",0,"Shiverous the Unscathed","Negul Neshai","Rare Enemy","After a kill, every 2nd shot deals 200% shock or incendiary dmg for 6 sec","Tell your heads to chill.","O",,
"Little Yeeti","Pistol","Jakobs ",0,"Yeti","Skittermaw Basin","Crew Challenge","Multiple projectiles. Chance to knockback enemies","Yeet 'em if you got 'em!","N",,
"Love Drill","Pistol","Jakobs ",0,"Eleanor of the Heart","Heart's Desire","The Call of Gythian","20% chance to deal double dmg as shock dmg","...till death us depart.","N",,
"Seventh Sense","Pistol","Jakobs ",0,"Quest Reward","The Cankerwood","CC: Forgotten Answers","Reloading causes all spawned projectiles to hit the original target","Something so close, and yet... so distant.","O",,
"Anarchy","Shotgun","Tediore",1,"World Drop Only","N/A","N/A","Auto reload or kill grants 30% dmg & reduces accuracy. Max 10 stacks","The stacks... THE STACKS!","Any",,
"Flama Diddle","Shotgun","Tediore",1,"World Drop Only","N/A","N/A","Reload shoots twice before exploding on impact. Bullets ricochet once","VIII. Never turn your back on the Monster!","F",,
"Insider","Shotgun","Maliwan",1,"World Drop Only","N/A","N/A","No charge time. Shots penetrate enemies","You can run, but you can't hide.","F C S R O",,
"Nothingness","Shotgun","Maliwan",0,"Gmork","The Cankerwood","Crew Challenge","Charged shot for several consecutive explosions (similar to the Flakker)","A hole would be something.","F C S R O",,
"Shocker","Shotgun","TORGUE",0,"Voltborn","Negul Neshai","Rare Enemy","Shock orb that splits into 3 orbs horizontally","Everything has to be magical. Surprise!","S",,
"Oldridian","SMG","Hyperion",1,"World Drop Only","World Drop Only","World Drop Only","Switches element on reload. Weapon shield reduces elemental dmg 20%","They bound the ones they knew of. There were more.","Any",,
"SF Force","SMG","Maliwan",0,"DJ Spinsmouth","Skittermaw Basin","Sinister Sounds","Shoots musical notes of both elements","Flavor-blast them all.","F C S R O",,
"Cocky Bastard","Sniper","Jakobs ",0,"Portal Chests","N/A","N/A","Crit deals additional +100% dmg as shock dmg","Great, kid.","N",,
"Skullmasher","Sniper","Jakobs ",0,"Portal Chests","N/A","N/A","x5 projectiles per shot. Extremely fast fire rate","Makes your brain hurt.","N",,
"Unseen Threat","Sniper","Jakobs ",0,"Amach","Cursehaven","Rare Enemy","Crit ricochets 3 homing projectiles","Taste their fear.","N",,
"Craps","Pistol","TORGUE",1,"Jackpot","VIP Tower","All Bets Off","Chance to fire a circle of projectiles","Oh, me.","Any",,
"Lucky 7","Pistol","Jakobs ",1,"Scraptrap Prime","The Compactor","One Man's Treasure","25% chance for: crit, explosive, full-auto, ricochet, amp, or 7 projectiles","O Fortuna.","N",,
"Nukem","RPG","TORGUE",1,"Loco Chantelle","VIP Tower","Crew Challenge","Mortar rockets with large splash radius","Name dropper.","N",,
"Creamer","RPG","TORGUE",1,"Junpai Goat Eater","VIP Tower","Crew Challenge","Heals you when damaging enemy. Projectile nova","Non-dairy.","Any",,
"ION CANNON","RPG","Vladof",0,"Fabricator","Jack's Secret","Jack's Wild","Charging shot releases fast rocket. 6 ammo/shot","Fun Detected: Obliterate.","Any",,
"Heart Breaker","Shotgun","Hyperion",1,"Georgous Armada","The Compactor","Crew Challenge","Heals you when damaging enemy. Heart shaped projectile pattern","I don't want to set the world on fire...","F C S O",,
"Slow Hand","Shotgun","Hyperion",1,"DEGEN-3","Impound Deluxe","Crew Challenge","Heals you when damaging enemy. Slow explosive projectiles","Take your time, sugar...","F C S R O",,
"Boomer","SMG","DAHL",1,"Claptrap Prime","The Compactor","One Man's Treasure","Full-Auto / 5-round burst. 2 ammo/shot. Explosive shots","Some like it hot.","N F",,
"Cheap Tips","SMG","Hyperion",1,"Jackpot","VIP Tower","All Bets Off","Dmging enemies, 10% chance to drop chips that +10% wpn dmg for 12s","I'll get home early from work.","Any",,
"ION LASER","SMG","Maliwan",1,"Evil Saint Lawrence","The Spendopticon","Crew Challenge","Continuous beam. Stop firing shoots orbs, count based on beam duration","Particles unite!","F C S R O",,
"AutoAimè","Sniper","DAHL",1,"Freddie the Traitor","VIP Tower","All Bets Off","Full-Auto / 2-round burst. Shoots homing lasers","OGC HOOKED.","N F C S",,
"Ember's Purge","SMG","Maliwan",0,"Ember Mail","N/A","Ember Challenge 100%","10% chance to create elemental puddle on enemy impact","She's the only one who knows what it is to burn.","F C S",,
"Scoville","Pistol","TORGUE",0,"Torgue Mail","N/A","Torgue Challenge 100%","High splash radius. 5 ammo/shot","Put a little pepper on the end of it.","F",,
"Rebel Yell","AR","Atlas",1,"Sky Bullies","The Anvil","Crew Challenge","Regular bullets deal normal dmg. Tracker bullets deal shock dmg","When you charge, yell like Furies.","N/S",,
"Carrier","AR","Atlas",1,"Judge Hightower","Lectra City","Crew Challenge","On enemy impact, bullet splits in 2 and homes in on the same enemy","I have arrived.","N",,
"Linc","Pistol","Atlas",0,"Anointed Alpha","The Anvil","Malevolent Practice","Fast fire rate & bullet speed","Power is pizza.","N",,
"Freeman","RPG","Atlas",0,"Warden","The Anvil","Hammerlocked","Laser guide your missiles","The right man in the wrong place can make all the difference in the world.","N",,
"Ruby's Wrath","RPG","Atlas",1,"Chonk Stomp","Floodmoor Basin","Crew Challenge","7 rockets that can be homed in using alternative fire: vortex grenade","No one can escape.","N",,
"Embrace the Pain","AR","COV",1,"Hot Karl","Devil's Razor","Crew Challenge","Chance to light yourself on fire","It hurts, HAHAHAHAHA! IT HURTS!!","F",,
"Pain is Power","AR","COV",1,"Hot Karl","Devil's Razor","Crew Challenge","Damages player when fired. Light yourself on fire when overheated","Nobody kills me but ME!","F",,
"Sawbar","AR","COV",1,"Borman Nates","Meridian Outskirts","Rare Enemy","Bullets split into 3 projectiles","Suppressing Fires!!!","F",,
